ID,Exercise,Type,Flexibility,Fitness,Unilateral,Compoundness,Duration,Active,Home,Pecs,Lats,Traps,Rhomboids,Lower back,Side delts,Front delts,Rear delts,Biceps,Triceps,Forearms,Front abs,Deep abs,Obliques,Quads,Hamstrings,Glutes,Calves,Adductors,Abductors
1,Cycling SS 15m,Cardio,0,3,0,2,20,1,,,,,,,,,,,,,,,,1,0.8,0.7,1,,
2,Lateral elliptical SS 15m,Cardio,0,3,0,3,20,,,,,,,,,,,,,,,,,1,0.7,0.8,0.7,0.8,0.8
3,Rowing SS 15m,Cardio,0,4,0,5,20,,,,1,0.7,0.7,0.7,,,,0.5,,0.7,,0.5,,0.7,0.7,0.9,,,
4,Stair climbing SS 15m,Cardio,0,3,0,3,20,,,,,,,,,,,,,,,,,1,0.7,0.7,1,0.5,
5,Running SS 15m,Cardio,0,4,0,4,20,1,,,,,,,,,,,,,,,,1,0.7,0.7,1,,
6,Back Hyperextensions,Lift,0,0,0,2,7,,,,,,,1,,,,,,,,,,,0.5,0.7,,,
7,Barbell bent-over rows,Lift,0,0,0,4,10,,,,1,0.7,0.7,0.8,,,,0.5,,0.5,,,,,,,,,
8,Barbell deadlifts,Lift,0,0,0,5,15,1,,,,,,1,,,,,,1,,0.5,,0.6,0.7,1,,,
9,Cable lat pulldowns,Lift,0,0,0,2,7,1,,,1,0.5,0.6,,,,,0.6,,0.5,,,,,,,,,
10,Cable seated rows,Lift,0,0,0,3,7,1,,,1,0.6,0.7,,,,,0.5,,0.5,,,,,,,,,
11,Chin-ups,Lift,0,0,0,4,10,,,,1,0.5,0.5,,,,,0.8,,0.8,,,,,,,,,
12,Inverted rows,Lift,0,0,0,2,7,,,,1,0.6,0.6,,,,,0.6,,0.5,,,,,,,,,
13,Kettlebell Swings,Lift,0,1,0,2,7,,,,,,,0.7,,,,,,,,,,0.6,0.6,1,,,
14,Machine seated rows,Lift,0,0,1,2,7,1,,,1,0.6,0.7,,,,,0.5,,0.5,,,,,,,,,
15,One arm dumbbell rows,Lift,0,0,1,1,7,1,1,,1,0.6,0.7,,,,,0.7,,0.5,,,,,,,,,
16,Pull-ups,Lift,0,0,0,4,10,,,,1,0.5,0.5,,,,,,,1,,,,,,,,,
17,Romanian deadlifts,Lift,0,0,0,4,15,,,,,,,0.8,,,,,,,,,,0.6,1,0.9,,,
18,Dumbbell curls,Lift,0,0,1,1,7,1,1,,,,,,,,,1,,,,,,,,,,,
19,EZ bar biceps curls,Lift,0,0,0,1,7,1,,,,,,,,,,1,,,,,,,,,,,
20,EZ bar close grip biceps curls,Lift,0,0,0,1,7,,,,,,,,,,,1,,0.5,,,,,,,,,
21,Incline face down dumbbell curls,Lift,0,0,1,1,7,,,,,,,,,,,1,,0.5,,,,,,,,,
22,Preacher curls,Lift,0,0,1,1,7,,,,,,,,,,,1,,0.5,,,,,,,,,
23,Barbell bench presses,Lift,0,0,0,4,15,1,,1,,,,,,0.5,,,0.8,,,,,,,,,,
24,Cable pec flyes,Lift,0,0,0,1,7,1,,1,,,,,,,,,,,,,,,,,,,
25,Dumbbell decline bench presses,Lift,0,0,1,3,7,1,1,1,,,,,,0.5,,,0.8,0.5,,,,,,,,,
26,Dumbbell incline bench presses,Lift,0,0,1,3,7,1,1,0.8,,,,,,0.8,,,0.8,0.5,,,,,,,,,
27,Push-ups,Lift,0,0,0,3,7,1,1,0.8,,,,,,0.5,,,1,,,0.5,,,,,,,
28,Cable standing oblique twists,Lift,0,0,1,1,7,,,,,,,,,,,,,,,0.6,1,,,,,,
29,Hanging leg raises,Lift,0,0,0,2,7,,1,,,,,,,,,,,1,0.8,1,0.5,,,,,,
30,Plank,Lift,0,0,0,3,7,1,1,,,,,,,,,,,,1,1,0.6,,,,,,
31,Weighted decline crunches,Lift,0,0,0,2,7,1,1,,,,,,,,,,,,1,0.6,,,,,,,
32,Plate pinches,Lift,0,0,1,1,7,,,,,,,,,,,,,1,,,,,,,,,
33,Reverse wrist curls,Lift,0,0,1,1,7,,,,,,,,,,,,,1,,,,,,,,,
34,Wrist curls,Lift,0,0,1,1,7,,,,,,,,,,,,,1,,,,,,,,,
35,Barbell front squats,Lift,0,0,0,5,15,,,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.6,
36,Barbell hip thrusts,Lift,0,0,0,3,12,,,,,,,0.5,,,,,,,,0.5,,,0.8,1,,,
37,Barbell low-bar squats,Lift,0,0,0,5,15,,,,,,,0.5,,,,,,,,0.5,,0.8,0.7,0.9,0.5,0.5,
38,Cable hip abductions,Lift,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,1
39,Cable hip adductions,Lift,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,1,
40,Calf presses,Lift,0,0,1,1,7,1,1,,,,,,,,,,,,,,,,,,1,,
41,Dumbbell walking lunges,Lift,0,1,1,5,10,1,1,,,,,0.5,,,,,,,,,,0.9,0.7,0.8,0.5,0.6,0.6
42,Goblet squats,Lift,0,0,0,4,10,1,1,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.6,
43,Kettlebell cossack squats,Lift,0,0,1,4,10,,1,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.8,0.8
44,Leg presses,Lift,0,0,1,3,10,1,,,,,,,,,,,,,,,,0.9,0.7,0.9,0.5,0.6,
45,Machine seated leg curls,Lift,0,0,1,1,7,1,,,,,,,,,,,,,,,,,1,0.5,,,
46,Seated leg extensions,Lift,0,0,1,1,7,1,,,,,,,,,,,,,,,,1,,,,,
47,Sumo deadlifts,Lift,0,0,0,5,15,,,,,0.5,0.5,1,,,,,,,,,,0.7,0.7,0.7,,0.6,
48,Barbell overhead presses,Lift,0,0,0,4,10,1,,,,,,,0.7,0.9,,,0.7,,,,,,,,,,
49,Cable face pulls,Lift,0,0,0,3,7,1,,,,0.5,1,,,,0.7,,,,,,,,,,,,
50,Cable shoulder shrugs,Lift,0,0,1,1,7,,,,,1,,,,,,,,,,,,,,,,,
51,Cable front raises,Lift,0,0,1,1,7,1,,,,,,,0.7,1,,,,0.5,,,,,,,,,
52,Dumbbell seated front shoulder presses,Lift,0,0,1,3,7,1,1,,,,,,0.7,1,,,0.7,0.5,,,,,,,,,
53,Dumbbell seated side shoulder presses,Lift,0,0,1,3,7,1,1,,,,,,1,0.8,,,0.7,0.5,,,,,,,,,
54,Dumbbell shoulder shrugs,Lift,0,0,1,1,7,1,1,,,1,,,,,,,,0.5,,,,,,,,,
55,Egyptian cable lateral raises,Lift,0,0,1,1,7,,,,,,,,1,0.5,,,,,,,,,,,,,
56,Standing cable reverse flyes,Lift,0,0,0,1,7,1,,,,0.5,0.9,,,,1,,,,,,,,,,,,
57,Cable triceps extensions,Lift,0,0,0,1,7,1,,,,,,,,,,,1,,,,,,,,,,
58,Skull crushers,Lift,0,0,0,1,7,1,1,,,,,,,,,,1,,,,,,,,,,
59,Triceps dips,Lift,0,0,0,3,7,1,1,0.5,,,,,,,,,1,,,,,,,,,,
60,Cycling HIIT 15m,Cardio,0,4,0,2,20,,,,,,,,,,,,,,,,,1,0.8,0.7,1,,
61,Cycling SS 10m,Cardio,0,3,0,2,15,1,,,,,,,,,,,,,,,,1,0.8,0.7,1,,
