Date,Exercise_1,Exercise_2,Exercise_3,Exercise_4,Exercise_5,Exercise_6,Exercise_7,Exercise_8,Exercise_9,Exercise_10,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10
01/01/24,1e,2e,3e,4e,5e,6e,7e,8e,9e,10e,Cycling SS 15m,Lateral elliptical SS 15m,Rowing SS 15m,Stair climbing SS 15m,Running SS 15m,Back Hyperextensions,Barbell bent-over rows,Barbell deadlifts,Cable lat pulldowns,Cable seated rows
20/07/24,8e,7e,30,51,,,,,,,Barbell deadlifts,Barbell bent-over rows,Plank,Cable front raises,,,,,,
22/07/24,37e,48,10,,,,,,,,Barbell low-bar squats,Barbell overhead presses,Cable seated rows,,,,,,,
23/07/24,3e,41,27,,,,,,,,Rowing SS 15m,Dumbbell walking lunges,Push-ups,,,,,,,
24/07/24,23,7,30,,,,,,,,Barbell bench presses,Barbell bent-over rows,Plank,,,,,,,
28/07/24,44,9,48,55,,,,,,,Leg presses,Cable lat pulldowns,Barbell overhead presses,Egyptian cable lateral raises,,,,,,
30/07/24,5e,23,31,,,,,,,,Running SS 15m,Barbell bench presses,Weighted decline crunches,,,,,,,
31/07/24,8e,48,49,18,,,,,,,Barbell deadlifts,Barbell overhead presses,Cable face pulls,Dumbbell curls,,,,,,
01/08/24,37,26,10,28,,,,,,,Barbell low-bar squats,Dumbbell incline bench presses,Cable seated rows,Cable standing oblique twists,,,,,,
03/08/24,41,56,59,19,,,,,,,Dumbbell walking lunges,Standing cable reverse flyes,Triceps dips,EZ bar biceps curls,,,,,,
06/08/24,53,41,68,30,,,,,,,Dumbbell seated side shoulder presses,Dumbbell walking lunges,Rowing SS 5m,Plank,,,,,,
