,Pecs,Lats,Traps,Rhomboids,Lower back,Side delts,Front delts,Rear delts,Biceps,Triceps,Forearms,Front abs,Deep abs,Obliques,Quads,Hamstrings,Glutes,Calves,Adductors,Abductors
Back Hyperextensions,,,,,1,,,,,,,,,,,0.5,0.7,,,
Barbell bent-over rows,,1,0.7,0.7,0.8,,,,0.5,,0.5,,,,,,,,,
Barbell deadlifts,,,,,1,,,,,,1,,0.5,,0.6,0.7,1,,,
Cable lat pulldowns,,1,0.5,0.6,,,,,0.6,,0.5,,,,,,,,,
Cable seated rows,,1,0.6,0.7,,,,,0.5,,0.5,,,,,,,,,
Chin-ups,,1,0.5,0.5,,,,,0.8,,0.8,,,,,,,,,
Inverted rows,,1,0.6,0.6,,,,,0.6,,0.5,,,,,,,,,
Kettlebell Swings,,,,,0.7,,,,,,,,,,0.6,0.6,1,,,
Machine seated rows,,1,0.6,0.7,,,,,0.5,,0.5,,,,,,,,,
One arm dumbbell rows,,1,0.6,0.7,,,,,0.7,,0.5,,,,,,,,,
Pull-ups,,1,0.5,0.5,,,,,,,1,,,,,,,,,
Romanian deadlifts,,,,,0.8,,,,,,,,,,0.6,1,0.9,,,
Dumbbell curls,,,,,,,,,1,,,,,,,,,,,
EZ bar biceps curls,,,,,,,,,1,,,,,,,,,,,
EZ bar close grip biceps curls,,,,,,,,,1,,0.5,,,,,,,,,
Incline face down dumbbell curls,,,,,,,,,1,,0.5,,,,,,,,,
Preacher curls,,,,,,,,,1,,0.5,,,,,,,,,
Barbell bench presses,1,,,,,,0.5,,,0.8,,,,,,,,,,
Cable crossovers,1,,,,,,,,,,,,,,,,,,,
Dumbbell decline bench presses,1,,,,,,0.5,,,1,0.5,,,,,,,,,
Dumbbell incline bench presses,0.8,,,,,,0.8,,,0.8,0.5,,,,,,,,,
Push-ups,0.8,,,,,,0.5,,,1,,,,,,,,,,
Cable standing oblique twists,,,,,,,,,,,,,0.6,1,,,,,,
Hanging leg raises,,,,,,,,,,,1,0.8,1,0.5,,,,,,
Plank,,,,,,,,,,,,1,1,0.6,,,,,,
Weighted decline crunches,,,,,,,,,,,,1,0.6,,,,,,,
Plate pinches,,,,,,,,,,,1,,,,,,,,,
Reverse wrist curls,,,,,,,,,,,1,,,,,,,,,
Wrist curls,,,,,,,,,,,1,,,,,,,,,
Barbell front squats,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.6,
Barbell hip thrusts,,,,,0.5,,,,,,,,0.5,,,0.8,1,,,
Barbell low-bar squats,,,,,0.5,,,,,,,,0.5,,0.8,0.7,0.9,0.5,0.5,
Cable hip abductions,,,,,,,,,,,,,,,,,,,,1
Cable hip adductions,,,,,,,,,,,,,,,,,,,1,
Calf presses,,,,,,,,,,,,,,,,,,1,,
Dumbbell walking lunges,,,,,0.5,,,,,,,,,,0.9,0.7,0.8,0.5,0.6,0.6
Goblet squats,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.6,
Kettlebell cossack squats,,,,,0.5,,,,,,,,,,1,0.7,0.7,0.5,0.8,0.8
Leg presses,,,,,,,,,,,,,,,0.9,0.7,0.9,0.5,0.6,
Machine seated leg curls,,,,,,,,,,,,,,,,1,0.5,,,
Seated leg extensions,,,,,,,,,,,,,,,1,,,,,
Sumo deadlifts,,,0.5,0.5,1,,,,,,,,,,0.7,0.7,0.7,,0.6,
Barbell overhead presses,,,,,,0.7,0.9,,,0.7,,,,,,,,,,
Cable face pulls,,,0.5,1,,,,0.7,,,,,,,,,,,,
Cable shoulder shrugs,,,1,,,,,,,,,,,,,,,,,
Dumbbell front raises,,,,,,0.7,1,,,,0.5,,,,,,,,,
Dumbbell seated front shoulder presses,,,,,,0.7,1,,,0.7,0.5,,,,,,,,,
Dumbbell seated side shoulder presses,,,,,,1,0.8,,,0.7,0.5,,,,,,,,,
Dumbbell shoulder shrugs,,,1,,,,,,,,0.5,,,,,,,,,
Egyptian cable lateral raises,,,,,,1,0.5,,,,,,,,,,,,,
Standing cable reverse flyes,,,0.5,0.9,,,,1,,,,,,,,,,,,
Cable triceps extensions,,,,,,,,,,1,,,,,,,,,,
EZ bar decline close grip skull crushers,,,,,,,,,,1,,,,,,,,,,
Triceps dips,0.5,,,,,,,,,1,,,,,,,,,,
